Time stamp	Event	Event Data
17:02:21 23/02/2017	Positionner Ctrl Initialised	True
17:02:30 23/02/2017	Ask to Connect the Positioner	
17:02:30 23/02/2017	Positioner Connected	
17:06:04 23/02/2017	Positionner Ctrl Initialised	True
17:06:16 23/02/2017	Ask to Connect the Positioner	
17:06:16 23/02/2017	Positioner Connected	
17:07:39 23/02/2017	Positionner Ctrl Initialised	True
17:07:50 23/02/2017	Ask to Connect the Positioner	
17:07:50 23/02/2017	Positioner Connected	
17:08:24 23/02/2017	Positionner Ctrl Initialised	True
17:08:30 23/02/2017	Ask to Connect the Positioner	
17:08:30 23/02/2017	Positioner Connected	
17:09:16 23/02/2017	Ask to Connect the Positioner	
17:09:16 23/02/2017	Positioner Connected	
17:09:56 23/02/2017	Positionner Ctrl Initialised	True
17:10:02 23/02/2017	Ask to Connect the Positioner	
17:10:02 23/02/2017	Positioner Connected	
17:11:33 23/02/2017	Positionner Ctrl Initialised	True
17:11:39 23/02/2017	Ask to Connect the Positioner	
17:11:39 23/02/2017	Positioner Connected	
09:41:34 24/02/2017	Positionner Ctrl Initialised	True
09:41:50 24/02/2017	Ask to Connect the Positioner	
09:41:50 24/02/2017	Positioner Connected	
