Time stamp	Event	Event Data
17:02:21 23/02/2017	Slit Ctrl Initialised	True
17:06:04 23/02/2017	Slit Ctrl Initialised	True
17:07:39 23/02/2017	Slit Ctrl Initialised	True
17:08:24 23/02/2017	Slit Ctrl Initialised	True
17:09:56 23/02/2017	Slit Ctrl Initialised	True
17:11:33 23/02/2017	Slit Ctrl Initialised	True
17:11:51 23/02/2017	Ask to Connect the Slit	
17:11:51 23/02/2017	Connected	
17:11:59 23/02/2017	Ask to Connect the Slit	
17:11:59 23/02/2017	Connected	
09:41:34 24/02/2017	Slit Ctrl Initialised	True
09:41:46 24/02/2017	Ask to Connect the Slit	
09:41:46 24/02/2017	Connected	
13:43:23 24/02/2017	Slit Ctrl Initialised	True
13:47:23 24/02/2017	Slit Ctrl Initialised	True
13:53:00 24/02/2017	Slit Ctrl Initialised	True
13:53:08 24/02/2017	Ask to Connect the Slit	
13:53:08 24/02/2017	Connected	
14:30:21 24/02/2017	Slit Ctrl Initialised	True
14:30:26 24/02/2017	Ask to Connect the Slit	
14:30:26 24/02/2017	Connected	
14:31:30 24/02/2017	Slit Ctrl Initialised	True
14:33:23 27/02/2017	Slit Ctrl Initialised	True
