Time stamp	Event	Event Data
14:49:09 09/02/2017	Spectro Ctrl Initialised	True
14:49:25 09/02/2017	Ask to Connect the spectrometer	
14:49:25 09/02/2017	Connected	
14:49:45 09/02/2017	Ask to Abort spectrometer Acqusition	
14:49:45 09/02/2017	Aborted	
14:51:02 09/02/2017	Spectro Ctrl Initialised	True
14:53:21 09/02/2017	Spectro Ctrl Initialised	True
14:53:47 09/02/2017	Spectro Ctrl Initialised	True
14:55:57 09/02/2017	Spectro Ctrl Initialised	True
14:56:00 09/02/2017	Ask to Connect the spectrometer	
14:56:00 09/02/2017	Connected	
14:56:14 09/02/2017	Ask to Abort spectrometer Acqusition	
14:56:14 09/02/2017	Aborted	
15:01:14 09/02/2017	Spectro Ctrl Initialised	True
15:01:17 09/02/2017	Ask to Connect the spectrometer	
15:01:17 09/02/2017	Connected	
15:01:22 09/02/2017	Ask the spectrometer to continius Acquiring	
15:01:22 09/02/2017	Acquiring	
15:01:35 09/02/2017	Ask to Abort spectrometer Acqusition	
15:01:35 09/02/2017	Aborted	
15:04:24 09/02/2017	Spectro Ctrl Initialised	True
15:05:08 09/02/2017	Spectro Ctrl Initialised	True
15:05:12 09/02/2017	Ask to Connect the spectrometer	
15:05:12 09/02/2017	Connected	
15:06:32 09/02/2017	Spectro Ctrl Initialised	True
17:20:26 15/02/2017	Spectro Ctrl Initialised	True
17:21:46 15/02/2017	Spectro Ctrl Initialised	True
11:03:56 16/02/2017	Spectro Ctrl Initialised	True
11:04:05 16/02/2017	Ask to Connect the spectrometer	
11:04:05 16/02/2017	Connected	
11:04:10 16/02/2017	Ask the spectrometer to continius Acquiring	
11:04:10 16/02/2017	Acquiring	
11:04:11 16/02/2017	Ask the spectrometer to Stop Acquiring	
11:04:11 16/02/2017	Acquiring Stopped	
11:08:00 16/02/2017	Spectro Ctrl Initialised	True
18:42:51 16/02/2017	Spectro Ctrl Initialised	True
18:42:54 16/02/2017	Ask to Connect the spectrometer	
18:42:54 16/02/2017	Connected	
18:43:01 16/02/2017	Ask to Connect the spectrometer	
18:43:01 16/02/2017	Connected	
13:41:05 17/02/2017	Spectro Ctrl Initialised	True
13:41:20 17/02/2017	Spectro Ctrl Initialised	True
13:42:19 17/02/2017	Spectro Ctrl Initialised	True
13:44:25 17/02/2017	Spectro Ctrl Initialised	True
15:06:38 17/02/2017	Spectro Ctrl Initialised	True
15:10:54 17/02/2017	Spectro Ctrl Initialised	True
15:27:30 17/02/2017	Spectro Ctrl Initialised	True
15:45:49 17/02/2017	Spectro Ctrl Initialised	True
15:54:21 17/02/2017	Spectro Ctrl Initialised	True
15:54:52 17/02/2017	Spectro Ctrl Initialised	True
15:55:07 17/02/2017	Spectro Ctrl Initialised	True
15:55:20 17/02/2017	Spectro Ctrl Initialised	True
15:55:54 17/02/2017	Spectro Ctrl Initialised	True
16:26:05 17/02/2017	Spectro Ctrl Initialised	True
16:34:02 17/02/2017	Spectro Ctrl Initialised	True
16:34:30 17/02/2017	Spectro Ctrl Initialised	True
16:35:49 17/02/2017	Spectro Ctrl Initialised	True
16:39:29 17/02/2017	Spectro Ctrl Initialised	True
16:48:19 17/02/2017	Spectro Ctrl Initialised	True
16:48:58 17/02/2017	Spectro Ctrl Initialised	True
17:13:18 17/02/2017	Spectro Ctrl Initialised	True
17:21:46 17/02/2017	Spectro Ctrl Initialised	True
17:51:21 17/02/2017	Spectro Ctrl Initialised	True
17:51:49 17/02/2017	Spectro Ctrl Initialised	True
11:23:36 20/02/2017	Spectro Ctrl Initialised	True
11:23:47 20/02/2017	Spectro Ctrl Initialised	True
11:23:59 20/02/2017	Spectro Ctrl Initialised	True
11:24:30 20/02/2017	Spectro Ctrl Initialised	True
11:25:06 20/02/2017	Spectro Ctrl Initialised	True
11:25:24 20/02/2017	Spectro Ctrl Initialised	True
11:25:36 20/02/2017	Spectro Ctrl Initialised	True
11:26:17 20/02/2017	Spectro Ctrl Initialised	True
11:26:19 20/02/2017	Ask to Connect the spectrometer	
11:26:19 20/02/2017	Connected	
11:26:21 20/02/2017	Ask to Connect the spectrometer	
11:26:21 20/02/2017	Connected	
11:26:30 20/02/2017	Spectro Ctrl Initialised	True
11:26:44 20/02/2017	Ask to Connect the spectrometer	
11:26:44 20/02/2017	Connected	
11:41:07 20/02/2017	Spectro Ctrl Initialised	True
11:47:04 20/02/2017	Spectro Ctrl Initialised	True
11:52:41 20/02/2017	Spectro Ctrl Initialised	True
11:53:24 20/02/2017	Spectro Ctrl Initialised	True
11:54:02 20/02/2017	Spectro Ctrl Initialised	True
12:55:13 20/02/2017	Spectro Ctrl Initialised	True
12:58:19 20/02/2017	Spectro Ctrl Initialised	True
13:00:33 20/02/2017	Spectro Ctrl Initialised	True
13:57:14 20/02/2017	Spectro Ctrl Initialised	True
13:59:01 20/02/2017	Spectro Ctrl Initialised	True
17:46:22 20/02/2017	Spectro Ctrl Initialised	True
